year,period,periodName,latest,value,footnotes,seriesID
2026,M04,April,true,4.6,P,JTS000000000000000JOR
2026,M03,March,,4.2,,JTS000000000000000JOR
2026,M02,February,,4.2,,JTS000000000000000JOR
2026,M01,January,,4.4,,JTS000000000000000JOR
2025,M12,December,,4.0,,JTS000000000000000JOR
2025,M11,November,,4.1,,JTS000000000000000JOR
2025,M10,October,,4.3,,JTS000000000000000JOR
2025,M09,September,,4.3,,JTS000000000000000JOR
2025,M08,August,,4.2,,JTS000000000000000JOR
2025,M07,July,,4.3,,JTS000000000000000JOR
2025,M06,June,,4.3,,JTS000000000000000JOR
2025,M05,May,,4.4,,JTS000000000000000JOR
2025,M04,April,,4.3,,JTS000000000000000JOR
2025,M03,March,,4.2,,JTS000000000000000JOR
2025,M02,February,,4.4,,JTS000000000000000JOR
2025,M01,January,,4.5,,JTS000000000000000JOR
2024,M12,December,,4.4,,JTS000000000000000JOR
2024,M11,November,,4.6,,JTS000000000000000JOR
2024,M10,October,,4.5,,JTS000000000000000JOR
2024,M09,September,,4.2,,JTS000000000000000JOR
2024,M08,August,,4.6,,JTS000000000000000JOR
2024,M07,July,,4.5,,JTS000000000000000JOR
2024,M06,June,,4.5,,JTS000000000000000JOR
2024,M05,May,,4.7,,JTS000000000000000JOR
2024,M04,April,,4.6,,JTS000000000000000JOR
2024,M03,March,,5.0,,JTS000000000000000JOR
2024,M02,February,,5.1,,JTS000000000000000JOR
2024,M01,January,,5.1,,JTS000000000000000JOR
2023,M12,December,,5.2,,JTS000000000000000JOR
2023,M11,November,,5.2,,JTS000000000000000JOR
2023,M10,October,,5.2,,JTS000000000000000JOR
2023,M09,September,,5.6,,JTS000000000000000JOR
2023,M08,August,,5.6,,JTS000000000000000JOR
2023,M07,July,,5.3,,JTS000000000000000JOR
2023,M06,June,,5.6,,JTS000000000000000JOR
2023,M05,May,,5.7,,JTS000000000000000JOR
2023,M04,April,,6.0,,JTS000000000000000JOR
2023,M03,March,,5.9,,JTS000000000000000JOR
2023,M02,February,,6.0,,JTS000000000000000JOR
2023,M01,January,,6.2,,JTS000000000000000JOR
2022,M12,December,,6.6,,JTS000000000000000JOR
2022,M11,November,,6.4,,JTS000000000000000JOR
2022,M10,October,,6.4,,JTS000000000000000JOR
2022,M09,September,,6.6,,JTS000000000000000JOR
2022,M08,August,,6.2,,JTS000000000000000JOR
2022,M07,July,,7.0,,JTS000000000000000JOR
2022,M06,June,,6.9,,JTS000000000000000JOR
2022,M05,May,,7.1,,JTS000000000000000JOR
2022,M04,April,,7.3,,JTS000000000000000JOR
2022,M03,March,,7.5,,JTS000000000000000JOR
2022,M02,February,,7.2,,JTS000000000000000JOR
2022,M01,January,,7.0,,JTS000000000000000JOR
2021,M12,December,,7.1,,JTS000000000000000JOR
2021,M11,November,,7.0,,JTS000000000000000JOR
2021,M10,October,,7.0,,JTS000000000000000JOR
2021,M09,September,,6.8,,JTS000000000000000JOR
2021,M08,August,,6.9,,JTS000000000000000JOR
2021,M07,July,,7.0,,JTS000000000000000JOR
2021,M06,June,,6.6,,JTS000000000000000JOR
2021,M05,May,,6.4,,JTS000000000000000JOR
2021,M04,April,,6.1,,JTS000000000000000JOR
2021,M03,March,,5.6,,JTS000000000000000JOR
2021,M02,February,,5.2,,JTS000000000000000JOR
2021,M01,January,,4.8,,JTS000000000000000JOR
2020,M12,December,,4.5,,JTS000000000000000JOR
2020,M11,November,,4.6,,JTS000000000000000JOR
2020,M10,October,,4.6,,JTS000000000000000JOR
2020,M09,September,,4.4,,JTS000000000000000JOR
2020,M08,August,,4.4,,JTS000000000000000JOR
2020,M07,July,,4.5,,JTS000000000000000JOR
2020,M06,June,,4.3,,JTS000000000000000JOR
2020,M05,May,,4.0,,JTS000000000000000JOR
2020,M04,April,,3.4,,JTS000000000000000JOR
2020,M03,March,,3.8,,JTS000000000000000JOR
2020,M02,February,,4.4,,JTS000000000000000JOR
2020,M01,January,,4.5,,JTS000000000000000JOR
2019,M12,December,,4.2,,JTS000000000000000JOR
2019,M11,November,,4.3,,JTS000000000000000JOR
2019,M10,October,,4.6,,JTS000000000000000JOR
2019,M09,September,,4.5,,JTS000000000000000JOR
2019,M08,August,,4.5,,JTS000000000000000JOR
2019,M07,July,,4.5,,JTS000000000000000JOR
2019,M06,June,,4.6,,JTS000000000000000JOR
2019,M05,May,,4.6,,JTS000000000000000JOR
2019,M04,April,,4.6,,JTS000000000000000JOR
2019,M03,March,,4.6,,JTS000000000000000JOR
2019,M02,February,,4.5,,JTS000000000000000JOR
2026,M04,April,true,3.2,P,JTS000000000000000HIR
2026,M03,March,,3.5,,JTS000000000000000HIR
2026,M02,February,,3.1,,JTS000000000000000HIR
2026,M01,January,,3.4,,JTS000000000000000HIR
2025,M12,December,,3.3,,JTS000000000000000HIR
2025,M11,November,,3.2,,JTS000000000000000HIR
2025,M10,October,,3.3,,JTS000000000000000HIR
2025,M09,September,,3.3,,JTS000000000000000HIR
2025,M08,August,,3.2,,JTS000000000000000HIR
2025,M07,July,,3.3,,JTS000000000000000HIR
2025,M06,June,,3.4,,JTS000000000000000HIR
2025,M05,May,,3.4,,JTS000000000000000HIR
2025,M04,April,,3.4,,JTS000000000000000HIR
2025,M03,March,,3.4,,JTS000000000000000HIR
2025,M02,February,,3.3,,JTS000000000000000HIR
2025,M01,January,,3.3,,JTS000000000000000HIR
2024,M12,December,,3.3,,JTS000000000000000HIR
2024,M11,November,,3.3,,JTS000000000000000HIR
2024,M10,October,,3.3,,JTS000000000000000HIR
2024,M09,September,,3.4,,JTS000000000000000HIR
2024,M08,August,,3.3,,JTS000000000000000HIR
2024,M07,July,,3.4,,JTS000000000000000HIR
2024,M06,June,,3.3,,JTS000000000000000HIR
2024,M05,May,,3.5,,JTS000000000000000HIR
2024,M04,April,,3.5,,JTS000000000000000HIR
2024,M03,March,,3.5,,JTS000000000000000HIR
2024,M02,February,,3.6,,JTS000000000000000HIR
2024,M01,January,,3.6,,JTS000000000000000HIR
2023,M12,December,,3.6,,JTS000000000000000HIR
2023,M11,November,,3.5,,JTS000000000000000HIR
2023,M10,October,,3.7,,JTS000000000000000HIR
2023,M09,September,,3.7,,JTS000000000000000HIR
2023,M08,August,,3.7,,JTS000000000000000HIR
2023,M07,July,,3.6,,JTS000000000000000HIR
2023,M06,June,,3.8,,JTS000000000000000HIR
2023,M05,May,,3.9,,JTS000000000000000HIR
2023,M04,April,,3.8,,JTS000000000000000HIR
2023,M03,March,,3.8,,JTS000000000000000HIR
2023,M02,February,,3.9,,JTS000000000000000HIR
2023,M01,January,,4.1,,JTS000000000000000HIR
2022,M12,December,,4.0,,JTS000000000000000HIR
2022,M11,November,,4.0,,JTS000000000000000HIR
2022,M10,October,,4.0,,JTS000000000000000HIR
2022,M09,September,,4.0,,JTS000000000000000HIR
2022,M08,August,,4.2,,JTS000000000000000HIR
2022,M07,July,,4.2,,JTS000000000000000HIR
2022,M06,June,,4.3,,JTS000000000000000HIR
2022,M05,May,,4.2,,JTS000000000000000HIR
2022,M04,April,,4.3,,JTS000000000000000HIR
2022,M03,March,,4.4,,JTS000000000000000HIR
2022,M02,February,,4.5,,JTS000000000000000HIR
2022,M01,January,,4.3,,JTS000000000000000HIR
2021,M12,December,,4.5,,JTS000000000000000HIR
2021,M11,November,,4.6,,JTS000000000000000HIR
2021,M10,October,,4.5,,JTS000000000000000HIR
2021,M09,September,,4.5,,JTS000000000000000HIR
2021,M08,August,,4.3,,JTS000000000000000HIR
2021,M07,July,,4.6,,JTS000000000000000HIR
2021,M06,June,,4.5,,JTS000000000000000HIR
2021,M05,May,,4.1,,JTS000000000000000HIR
2021,M04,April,,4.2,,JTS000000000000000HIR
2021,M03,March,,4.3,,JTS000000000000000HIR
2021,M02,February,,4.1,,JTS000000000000000HIR
2021,M01,January,,3.9,,JTS000000000000000HIR
2020,M12,December,,3.9,,JTS000000000000000HIR
2020,M11,November,,4.1,,JTS000000000000000HIR
2020,M10,October,,4.3,,JTS000000000000000HIR
2020,M09,September,,4.2,,JTS000000000000000HIR
2020,M08,August,,4.3,,JTS000000000000000HIR
2020,M07,July,,4.5,,JTS000000000000000HIR
2020,M06,June,,5.4,,JTS000000000000000HIR
2020,M05,May,,6.1,,JTS000000000000000HIR
2020,M04,April,,3.1,,JTS000000000000000HIR
2020,M03,March,,3.4,,JTS000000000000000HIR
2020,M02,February,,3.9,,JTS000000000000000HIR
2020,M01,January,,3.9,,JTS000000000000000HIR
2019,M12,December,,3.9,,JTS000000000000000HIR
2019,M11,November,,3.9,,JTS000000000000000HIR
2019,M10,October,,3.8,,JTS000000000000000HIR
2019,M09,September,,3.9,,JTS000000000000000HIR
2019,M08,August,,3.9,,JTS000000000000000HIR
2019,M07,July,,3.9,,JTS000000000000000HIR
2019,M06,June,,3.8,,JTS000000000000000HIR
2019,M05,May,,3.8,,JTS000000000000000HIR
2019,M04,April,,4.0,,JTS000000000000000HIR
2019,M03,March,,3.8,,JTS000000000000000HIR
2019,M02,February,,3.8,,JTS000000000000000HIR
2026,M04,April,true,1.9,P,JTS000000000000000QUR
2026,M03,March,,2.0,,JTS000000000000000QUR
2026,M02,February,,1.9,,JTS000000000000000QUR
2026,M01,January,,2.0,,JTS000000000000000QUR
2025,M12,December,,2.0,,JTS000000000000000QUR
2025,M11,November,,2.0,,JTS000000000000000QUR
2025,M10,October,,1.9,,JTS000000000000000QUR
2025,M09,September,,1.9,,JTS000000000000000QUR
2025,M08,August,,2.0,,JTS000000000000000QUR
2025,M07,July,,2.0,,JTS000000000000000QUR
2025,M06,June,,2.1,,JTS000000000000000QUR
2025,M05,May,,2.1,,JTS000000000000000QUR
2025,M04,April,,2.0,,JTS000000000000000QUR
2025,M03,March,,2.2,,JTS000000000000000QUR
2025,M02,February,,2.0,,JTS000000000000000QUR
2025,M01,January,,2.0,,JTS000000000000000QUR
